Tactic ID,Tactic Name,ID,Technique Name,Sub-Technque/ Indicator #,Sub-Technique Description/Indicator,"Where Can I Detect?  Proxess, Logs, files, Sysmon, MDE",DoDI 8530.01 Cybersecurity Activity,Day Assessed,# of Attempted Exploits,Sensor Detected,Host Name,Host IP,URL,Sensor Block/Contained,Sensor Alert,Analyst  Actioned,Event Contained,All Events Detected?,Blocked by System,Required Alerts Generated,Analyst Actions Complete,Effective (Y/N),Observations,Detection Recommendations MITRE ATT&CK  Command Execution,Web Credential,Application,OS API Execution,Command,Image,Service ,Driver,Module Load,Process Creation,Schedule Job Creation,File,File Modification,Logon Session,User Accounts,Active Directory,Named Pipe,Network Traffic,Network Share,Network Traffic Flow,Script,Cloud Service,Windows Registry,File Access,Firewall Enumeration,Firewall Metadata
,,,,T1087.002,Domain Account,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor for execution of commands and arguments associated with enumeration or information gathering of domain accounts and groups, such as net user /domain and net group /domain, dscacheutil -q groupon macOS, and ldapsearch on Linux.

System and network discovery techniques normally occur throughout an operation as an adversary learns the environment, and also to an extent in normal network operations. Therefore discovery data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained",,,"Monitor for API calls that may attempt to gather information about domain accounts such as type of user, privileges and groups.      ",,,,,,"Monitor for processes that can be used to enumerate domain accounts and groups, such as net.exe and net1.exe, especially when executed in quick succession.[41] Information may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.",,,,,,,,,,,,,,,,
,,,,T1087.003,Email Account,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1087.004,Cloud Account,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1010,Application Window Discovery,T1010.000,Application Window Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1217,Browser Bookmark Discovery,T1217.000,Browser Bookmark Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1580,Cloud Infrastructure Discovery,T1580.000,Cloud Infrastructure Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1538,Cloud Service Dashboard,T1538.000,Cloud Service Dashboard,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1526,Cloud Service Discovery,T1526.000,Cloud Service Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1619,Cloud Storage Object Discovery,T1619.000,Cloud Storage Object Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1613,Container and Resource Discovery,T1613.000,Container and Resource Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1622,Debugger Evasion,T1622.000,Debugger Evasion,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1482,Domain Trust Discovery,T1482.000,Domain Trust Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1083,File and Directory Discovery,T1083.000,File and Directory Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Command Execution	
Monitor executed commands and arguments that may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.",,,Monitor for API calls that may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.,,,,,,Monitor newly executed processes that may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.,,,,,,,,,,,,,,,,
,,T1615,Group Policy Discovery,T1615.000,Group Policy Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor for suspicious use of gpresult. Monitor for the use of PowerShell functions such as Get-DomainGPO and Get-DomainGPOLocalGroup and processes spawning with command-line arguments containing GPOLocalGroup.,,,,,,,,,"Monitor for newly executed processes that may gather information on Group Policy settings to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment.",,,,,,Monitor for abnormal LDAP queries with filters for groupPolicyContainer and high volumes of LDAP traffic to domain controllers. Windows Event ID 4661 can also be used to detect when a directory service has been accessed.,,"Monitor and analyze traffic patterns and packet inspection associated to protocol(s) that do not follow the expected protocol standards and traffic flows (e.g extraneous packets that do not belong to established flows, gratuitous or anomalous traffic patterns, anomalous syntax, or structure). Consider correlation with process monitoring and command line to detect anomalous processes execution and command line arguments associated to traffic patterns (e.g. monitor anomalies in use of files that do not normally initiate connections for respective protocol(s)).",,,"	
Monitor for any attempts to enable scripts running on a system would be considered suspicious. If scripts are not commonly used on a system, but enabled, scripts running out of cycle from patching or other administrator functions are suspicious. Scripts should be captured from the file system when possible to determine their actions and intent.",,,,,
,,T1046,Network Service Discovery,T1046.000,Network Service Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor executed commands and arguments that may attempt to get a listing of services running on remote hosts, including those that may be vulnerable to remote software exploitation.",,,,,,,,,,,,,,,,,Monitor network data for uncommon data flows. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,,,,"Cloud service discovery techniques will likely occur throughout an operation where an adversary is targeting cloud-based systems and services. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.Normal, benign system and network events that look like cloud service discovery may be uncommon, depending on the environment and how they are used. Monitor cloud service usage for anomalous behavior that may indicate adversarial presence within the environment.",,,,
,,T1135,Network Share Discovery,T1135.000,Network Share Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments that may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.,,,Monitor for API calls that may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.,,,,,,Monitor for newly executed processes that may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.,,,,,,,,,,,,,,,,
,,T1040,Network Sniffing,T1040.000,Network Sniffing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1201,Password Policy Discovery,T1201.000,Password Policy Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1120,Peripheral Device Discovery,T1120.000,Peripheral Device Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1069,Permission Groups Discovery,T1069.001,Local Groups,,"AS&W, IH",,,,,,,,,,,N/A,N,N/A,N/A,N/A,,Monitor for executed commands and arguments that may attempt to find local system groups and permission settings.,,,,,,,,,Monitor newly executed processes that may attempt to find local system groups and permission settings.,,,,,,,,,,,,,,,,
,,,,T1069.002,Domain Groups,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor for executed commands and arguments that may attempt to find domain-level groups and permission settings.,,,,,,,,,Monitor newly executed processes that may attempt to find domain-level groups and permission settings.,,,,,,,,,,,,,,,,
,,,,T1069.003,Cloud Groups,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1057,Process Discovery,T1057.000,Process Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments for actions that may attempt to get information about running processes on a system.,,,Monitor for API calls may attempt to get information about running processes on a system.,,,,,,Monitor for newly executed processes that may attempt to get information about running processes on a system.,,,,,,,,,,,,,,,,
,,T1012,Query Registry,T1012.000,Query Registry,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor executed commands and arguments for actions that may interact with the Windows Registry to gather information about the system, configuration, and installed software.",,,"Monitor for API calls (such as RegOpenKeyExA) that may interact with the Windows Registry to gather information about the system, configuration, and installed software.",,,,,,"Monitor for newly executed processes that may interact with the Windows Registry to gather information about the system, configuration, and installed software.",,,,,,,,,,,,,Monitor for unexpected process interactions with the Windows Registry (i.e. reads) that may be related to gathering information.,,,
,,T1018,Remote System Discovery,T1018.000,Remote System Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor executed commands and arguments that may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system",,,,,,,,,"Monitor for newly executed processes that can be used to discover remote systems, such as ping.exe and tracert.exe, especially when executed in quick succession.[84]",,,,,,,,"Monitor for newly constructed network connections associated with pings/scans that may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system.",,,,,,"Monitor for files (such as /etc/hosts) being accessed that may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system",,
,,T1518,Software Discovery,T1518.001,Security Software Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor executed commands and arguments that may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment.",,,"Monitor for API calls that may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment.",,,,,,"Monitor newly executed processes that may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment.",,,,,,,,,,,,,,,Monitor for an extracted list of available firewalls and/or their associated settings/rules (ex: Azure Network Firewall CLI Show commands),"Monitor for contextual data about a firewall and activity around it such as name, policy, or status"
,,T1082,System Information Discovery,T1082.000,System Information Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Monitor executed commands and arguments that may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture.",,,"Monitor for API calls that may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell. In cloud-based systems, native logging can be used to identify access to certain APIs and dashboards that may contain system information. Depending on how the environment is used, that data alone may not be useful due to benign use during normal operations.",,,,,,"Monitor newly executed processes that may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture.",,,,,,,,,,,,,,,,
,,T1614,System Location Discovery,T1614.001,System Language Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1016,System Network Configuration Discovery,T1016.001,Internet Connection Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1049,System Network Connections Discovery,T1049.000,System Network Connections Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments that may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. Information may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.,,,Monitor for API calls that may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.,,,,,,Monitor for executed processes that may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.,,,,,,,,,,,,,,,,
,,T1033,System Owner/User Discovery,T1033.000,System Owner/User Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1007,System Service Discovery,T1007.000,System Service Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments that could be taken to gather system information related to services. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.,,,,,,,,,"Monitor for newly executed processes with arguments that may try to get information about registered services. System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.",,,,,,,,,,,,,,,,
,,T1124,System Time Discovery,T1124.000,System Time Discovery,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,Monitor executed commands and arguments for actions that may gather the system time and/or time zone from a local or remote system.,,,Monitor for API calls that may gather the system time and/or time zone from a local or remote system. Remote access tools with built-in features may interact directly with the Windows API to gather information.,,,,,,Monitor for newly executed processes that may gather the system time and/or time zone from a local or remote system.,,,,,,,,,,,,,,,,
,,T1497,Virtualization/Sandbox Evasion,T1497.001,System Checks,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1497.002,User Activity Based Checks,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1497.003,Time Based Evasion,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0008,Lateral Movement,T1210,Exploitation of Remote Services,T1210.000,Exploitation of Remote Services,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Application Isolation and Sandboxing	
Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of exploitation. Risks of additional exploits and weaknesses in these systems may still exist. 

Disable or Remove Feature or Program	
Minimize available services to only those that are necessary.

Exploit Protection	
Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.

Network Segmentation	
Segment networks and systems appropriately to reduce access to critical systems and services to controlled methods.

Privileged Account Management	
Minimize permissions and access for service accounts to limit impact of exploitation.

Threat Intelligence Program	
Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.

Update Software	
Update software regularly by employing patch management for internal enterprise endpoints and servers.

Vulnerability Scanning	
Regularly scan the internal network for available services to identify new and potentially vulnerable services.",,Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash. Web Application Firewalls may detect improper inputs attempting exploitation.,,,,,,,,,,,,,,,"Use deep packet inspection to look for artifacts of common exploit traffic, such as known payloads.
",,,,,,,,
,,T1534,Internal Spearphishing,T1534.000,Internal Spearphishing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1570,Lateral Tool Transfer,T1570.000,Lateral Tool Transfer,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Filter Network Traffic	
Consider using the host firewall to restrict file sharing communications such as SMB. 

Network Intrusion Prevention	
Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions.",,,,"Monitor executed commands and arguments for actions for abnormal usage of utilities and command-line arguments that may be used in support of remote transfer of files
",,,,,Monitor newly constructed processes that assist in lateral tool transfers.,,"File Creation	
Monitor newly constructed files to/from a lateral tool transfer

File Metadata	
Monitor for alike file hashes or characteristics (ex: filename) that are created on multiple hosts.",,,,,Monitor for contextual data about named pipes on the system.,"Network Traffic Content	
Monitor for unusual processes with internal network connections creating files on-system may be suspicious

Network Traffic Flow	
Monitor for network traffic originating from unknown/unexpected hardware devices. Local network traffic metadata (such as source MAC addressing) as well as usage of network management protocols such as DHCP may be helpful in identifying hardware","Network Share Access	
Monitor for unexpected network share access, such as files transferred between shares within a network using protocols such as SMB.",,,,,,,
,,T1563,Remote Service Session Hijacking,T1563.001,SSH Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1563.002,RDP Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1021,Remote Services,T1021.001,Remote Desktop Protocol,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1021.002,SMB/Windows Admin Shares,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Multi-factor Authentication	
Use multi-factor authentication on remote service logons where possible.

User Account Management	
Limit the accounts that may use remote services. Limit the permissions for accounts that are at higher risk of compromise; for example, configure SSH so users can only run specific programs.",,,,"Monitor executed commands and arguments that may use Valid Accounts to log into a service specifically designed to accept remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.",,,,"	
Monitor DLL/PE file events, specifically creation of these binary files as well as the loading of DLLs into processes, that may use Valid Accounts to log into a service specifically designed to accept remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.","Monitor for newly executed processes that may use Valid Accounts to log into a service specifically designed to accept remote connections, such as RDP, telnet, SSH, and VNC. The adversary may then perform actions that spawn additional processes as the logged-on user.
",,,,"Monitor for user accounts logged into systems they would not normally access or abnormal access patterns, such as multiple systems over a relatively short period of time. Correlate use of login activity related to remote services with unusual behavior or other malicious or suspicious activity. Adversaries will likely need to learn about an environment and the relationships between systems through Discovery techniques prior to attempting Lateral Movement. For example, in macOS you can review logs for ""screensharingd"" and ""Authentication"" event messages. ",,,,"Monitor for newly constructed network connections that may use Valid Accounts to log into a service specifically designed to accept remote connections, such as RDP, telnet, SSH, and VNC. Monitor network connections involving common remote management protocols, such as ports tcp:3283 and tcp:5900, as well as ports tcp: 3389 and tcp:22 for remote login.
","	
Monitor interactions with network shares, such as reads or file transfers, using remote services such as Server Message Block (SMB).","Monitor network data for uncommon data flows that may be related to abuse of /techniques/T1078 to log into a service specifically designed to accept remote connections, such as RDP, telnet, SSH, and VNC.
",,,,,,
,,,,T1021.003,Distributed Component Object Model,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1021.004,SSH,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1021.005,VNC,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1021.006,Windows Remote Management,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1091,Replication Through Removable Media,T1091.000,Replication Through Removable Media,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1072,Software Deployment Tools,T1072.000,Software Deployment Tools,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1080,Taint Shared Content,T1080.000,Taint Shared Content,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1550,Use Alternate Authentication Material,T1550.001,Application Access Token,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1550.002,Pass the Hash,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1550.003,Pass the Ticket,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Privileged Account Management	
Limit credential overlap across systems to prevent the damage of credential compromise and reduce the adversary's ability to perform Lateral Movement between systems.

User Account Management	
Enforce the principle of least-privilege. Do not allow a domain user to be in the local administrator group on multiple systems.","Monitor for an attempt by a user to gain access to a network or computing resource by providing web credentials (ex: Windows EID 1202) that may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.
","Monitor for third-party application logging, messaging, and/or other artifacts that may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.",,,,,,,,,,,"Look for suspicious account behavior across systems that share accounts, either user, admin, or service accounts. Examples: one account logged into multiple systems simultaneously; multiple accounts logged into the same machine simultaneously; accounts logged in at odd times or outside of business hours. Activity may be from interactive login sessions or process ownership from accounts being used to execute binaries on a remote system as a particular account.","Monitor for an attempt by a user to gain access to a network or computing resource, often by providing credentials that may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.","Monitor requests of new ticket granting ticket or service tickets to a Domain Controller, such as Windows EID 4769 or 4768, that may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls.",,,,,,,,,,
,,,,T1550.004,Web Session Cookie,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0009,Collection,T1557,Adversary-in-the-Middle,T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1557.002,ARP Cache Poisoning,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1557.003,DHCP Spoofing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1560,Archive Collected Data,T1560.001,Archive via Utility,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1560.002,Archive via Library,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1560.003,Archive via Custom Method,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1123,Audio Capture,T1123.000,Audio Capture,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1119,Automated Collection,T1119.000,Automated Collection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1185,Browser Session Hijacking,T1185.000,Browser Session Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1115,Clipboard Data,T1115.000,Clipboard Data,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1530,Data from Cloud Storage Object,T1530.000,Data from Cloud Storage Object,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1602,Data from Configuration Repository,T1602.001,SNMP (MIB Dump),,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1602.002,Network Device Configuration Dump,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1213,Data from Information Repositories,T1213.001,Confluence,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1213.002,Sharepoint,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1213.003,Code Repositories,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1005,Data from Local System,T1005.000,Data from Local System,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
",,,"OS API Execution	
Monitor for API calls that may search local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to Exfiltration.","Monitor executed commands and arguments that may search and collect local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to Exfiltration. Remote access tools with built-in features may interact directly with the Windows API to gather data. Data may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.
",,,,,"Monitor for newly executed processes that may search local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to Exfiltration.",,,,,,,,,,,"Monitor for any attempts to enable scripts running on a system would be considered suspicious. If scripts are not commonly used on a system, but enabled, scripts running out of cycle from patching or other administrator functions are suspicious. Scripts should be captured from the file system when possible to determine their actions and intent. Data may also be acquired through Windows system management tools such as Windows Management Instrumentation and PowerShell.",,,"Monitor for unexpected/abnormal access to files that may be malicious collection of local data, such as user files (pdf, .docx, .jpg, etc.) or local databases.
",,
,,T1039,Data from Network Shared Drive,T1039.000,Data from Network Shared Drive,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
",,,,"Monitor executed commands and arguments for actions that could be taken to collect files from a network share. Remote access tools with built-in features may interact directly with the Windows API to gather and copy to a location. Data may also be acquired and staged through Windows system management tools such as Windows Management Instrumentation and PowerShell.
",,,,,,,,,,,,,,"Monitor for unexpected and abnormal accesses to network shares.
",,,,,"Monitor for unexpected files (i.e. .pdf, .docx, .jpg, etc.) interacting with network shares.
",,
,,T1025,Data from Removable Media,T1025.000,Data from Removable Media,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
